industry_key,group
Agricultural Inputs,Fertilizers
Farm & Heavy Construction Machinery,Farm Machinery & Equipment
Farm Machinery,Farm Machinery & Equipment
Tools & Accessories,Farm Machinery & Equipment
Industrial Distribution,Farm Machinery & Equipment
Drug Manufacturers - Specialty & Generic,Animal Health
Drug Manufacturers - General,Seeds & Crop Protection
Farm Products,Agricultural Trading & Processing
Agricultural Products,Agricultural Trading & Processing
Packaged Foods,Food Processing
Meat Products,Food Processing
Beverages - Non-Alcoholic,Food Processing
Food Distribution,Food Distribution
Specialty Retail,Retail
REIT - Specialty,Farmland REIT
REIT - Diversified,Farmland REIT
Specialty Chemicals,Seeds & Crop Protection
Chemicals,Seeds & Crop Protection
Consumer Packaged Goods,Food Processing
Aquaculture,Aquaculture
